origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
0,2021-12-29,nivel,1,cero,,1.0997569561004639,1.0800857543945312,1.0,1.0,0.0,30,16950,3690,,,,
0,2021-12-29,nivel,1,deriva,,1.111365795135498,1.0979766845703125,1.0102492570877075,1.010777235031128,0.004199637492296591,30,16950,3690,,,,
0,2021-12-29,nivel,1,ingenua,,1.5369529724121094,1.4750261306762695,1.3945845365524292,1.403796672821045,0.02384004622970637,30,16950,3690,,,,
0,2021-12-29,nivel,1,regresion agrupada,,1.1414084434509277,1.1348329782485962,1.0380984544754028,1.0315155982971191,0.010619249119087563,30,16950,3690,,,,
0,2021-12-29,nivel,1,LSTM,0.0,1.1081360578536987,1.0923285484313965,1.007300853729248,1.0086982250213623,0.003341871505629487,30,16950,3690,7.0,0.0,0.07840103519135225,0.08527885755496238
0,2021-12-29,nivel,1,LSTM,1.0,1.110864281654358,1.094482183456421,1.0098471641540527,1.0112369060516357,0.003981205518417789,30,16950,3690,7.0,0.0,0.06765279160645693,0.0927832675124727
0,2021-12-29,nivel,1,LSTM,2.0,1.110837459564209,1.0938515663146973,1.0098145008087158,1.0115387439727783,0.004083708335328941,30,16950,3690,7.0,0.0,0.06407790938948295,0.08275352387841958
0,2021-12-29,nivel,5,cero,,1.1035956144332886,1.0842442512512207,1.0,1.0,0.0,30,16830,3570,,,,
0,2021-12-29,nivel,5,deriva,,1.1144803762435913,1.1062357425689697,1.00948965549469,1.0094306468963623,0.004161261509004486,30,16830,3570,,,,
0,2021-12-29,nivel,5,ingenua,,1.5511994361877441,1.5373609066009521,1.4040342569351196,1.3974027633666992,0.010222023837954041,30,16830,3570,,,,
0,2021-12-29,nivel,5,regresion agrupada,,1.1272799968719482,1.1194813251495361,1.021254062652588,1.0122145414352417,0.009919851780122654,30,16830,3570,,,,
0,2021-12-29,nivel,5,LSTM,0.0,1.110171914100647,1.0911054611206055,1.005730152130127,1.006260633468628,0.0025228341558002076,30,16830,3570,8.0,1.0,0.03365695796850504,0.04132852531179334
0,2021-12-29,nivel,5,LSTM,1.0,1.1107990741729736,1.092131495475769,1.0062899589538574,1.0067048072814941,0.002691042075477648,30,16830,3570,8.0,1.0,0.035435426302931526,0.03738146232949062
0,2021-12-29,nivel,5,LSTM,2.0,1.109019160270691,1.0902626514434814,1.004601001739502,1.0053277015686035,0.0023799348242161443,30,16830,3570,7.0,0.0,0.057307816223438945,0.03668766271210078
0,2021-12-29,nivel,10,cero,,1.1021016836166382,1.0831105709075928,1.0,1.0,0.0,30,16680,3420,,,,
0,2021-12-29,nivel,10,deriva,,1.1106990575790405,1.1046276092529297,1.0075724124908447,1.0075809955596924,0.003920668813518289,30,16680,3420,,,,
0,2021-12-29,nivel,10,ingenua,,1.5496580600738525,1.541792631149292,1.4053295850753784,1.4042292833328247,0.010971210280411557,30,16680,3420,,,,
0,2021-12-29,nivel,10,regresion agrupada,,1.122463345527649,1.1122725009918213,1.017621397972107,1.0117111206054688,0.009373027940284608,30,16680,3420,,,,
0,2021-12-29,nivel,10,LSTM,0.0,1.108222246170044,1.0959081649780273,1.005297064781189,1.0057648420333862,0.00264437992410934,30,16680,3420,8.0,1.0,0.03589140817127896,0.031243384420645958
0,2021-12-29,nivel,10,LSTM,1.0,1.1081010103225708,1.0959018468856812,1.005185842514038,1.0057916641235352,0.0026949210944451117,30,16680,3420,7.0,0.0,0.030599632328658394,0.0313334416767413
0,2021-12-29,nivel,10,LSTM,2.0,1.1084777116775513,1.0968422889709473,1.0055043697357178,1.0062569379806519,0.002671786749789115,30,16680,3420,7.0,0.0,0.03385655161444888,0.029346558378275597
0,2021-12-29,nivel,20,cero,,1.0969685316085815,1.081796407699585,1.0,1.0,0.0,30,16410,3150,,,,
0,2021-12-29,nivel,20,deriva,,1.1023143529891968,1.0928070545196533,1.0046988725662231,1.0055882930755615,0.003830854382763718,30,16410,3150,,,,
