origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
0,2020-07-24,magnitud,1,LSTM sin signo,0,1.2635947465896606,1.2152177095413208,0.9048531651496887,0.8994678258895874,0.013619303797481079,273,107019,6825,8,1,0.16765625122045488,0.1436554920239494
0,2020-07-24,magnitud,1,LSTM sin signo,1,1.2784202098846436,1.2354562282562256,0.9166918992996216,0.9160580039024353,0.011704748488293405,273,107019,6825,28,21,0.14982892730471128,0.14995673738935683
0,2020-07-24,magnitud,5,LSTM sin signo,0,1.3684003353118896,1.2981815338134766,0.9237663745880127,0.923129677772522,0.005227157126302163,273,106746,6552,32,25,0.09392097916195004,0.06598562519881222
0,2020-07-24,magnitud,5,LSTM sin signo,1,1.3673734664916992,1.294325351715088,0.9229704141616821,0.922690749168396,0.005161562644595791,273,106746,6552,33,26,0.12332267856015433,0.07579721271437849
0,2020-07-24,magnitud,10,LSTM sin signo,0,1.3747750520706177,1.2959574460983276,0.9229438900947571,0.9237367510795593,0.005286164878594002,273,106473,6279,29,22,0.08821607641248892,0.054542042614999585
0,2020-07-24,magnitud,10,LSTM sin signo,1,1.3689571619033813,1.2996406555175781,0.9209808707237244,0.9227445721626282,0.004997114011972596,273,106473,6279,22,15,0.08537576029686114,0.06150201263013654
0,2020-07-24,magnitud,20,LSTM sin signo,0,1.375927448272705,1.2886093854904175,0.9232727289199829,0.9242950677871704,0.005289045417205629,273,106200,6006,30,23,0.06956019635390805,0.043909750506281854
0,2020-07-24,magnitud,20,LSTM sin signo,1,1.3793236017227173,1.2896052598953247,0.9251759052276611,0.925756573677063,0.00534005638306375,273,106200,6006,23,16,0.0889879951635039,0.057087468427706914
1,2021-01-25,magnitud,1,LSTM sin signo,0,1.0716739892959595,1.0105490684509277,0.9535742998123169,0.9529930949211121,0.009176348637591281,274,113900,6850,14,7,0.17337072168926845,0.17212504413020746
1,2021-01-25,magnitud,1,LSTM sin signo,1,1.0736843347549438,1.0158214569091797,0.9548623561859131,0.9564296007156372,0.010858232850995096,274,113900,6850,13,6,0.1454366465632835,0.20201507150457146
1,2021-01-25,magnitud,5,LSTM sin signo,0,0.9953398108482361,0.9689944982528687,0.9455054998397827,0.9473228454589844,0.0037867420697113713,274,113626,6576,15,8,0.09118432127912571,0.11518765049608978
1,2021-01-25,magnitud,5,LSTM sin signo,1,0.9976283311843872,0.9711939096450806,0.9475852847099304,0.9499884843826294,0.0039549084358560535,274,113626,6576,12,5,0.107319098402251,0.1284014755977435
1,2021-01-25,magnitud,10,LSTM sin signo,0,0.973766565322876,0.9413664937019348,0.9329437017440796,0.9335414171218872,0.00403205300935088,274,113352,6302,13,6,0.08793817298659218,0.100434085013635
1,2021-01-25,magnitud,10,LSTM sin signo,1,0.975608229637146,0.9450823068618774,0.9345614314079285,0.9338099360466003,0.004243231958275033,274,113352,6302,10,3,0.07859827243380299,0.10356407343046256
1,2021-01-25,magnitud,20,LSTM sin signo,0,0.9629120230674744,0.9346685409545898,0.9270607829093933,0.9270991683006287,0.004756227258219585,274,113078,5754,9,2,0.07020847513277202,0.07552487091308806
1,2021-01-25,magnitud,20,LSTM sin signo,1,0.9610758423805237,0.9304386973381042,0.9255622625350952,0.9267163276672363,0.004478952038527711,274,113078,5754,12,5,0.07815393913385556,0.08001371702744006
2,2021-07-26,magnitud,1,LSTM sin signo,0,0.9149248600006104,0.8699250817298889,0.9580985903739929,0.9601175785064697,0.007702576350591351,274,121024,6850,15,8,0.1734300580950765,0.20731659180014128
2,2021-07-26,magnitud,1,LSTM sin signo,1,0.9129962921142578,0.868253231048584,0.9564086198806763,0.9581092000007629,0.007313451581707156,274,121024,6850,17,10,0.1445532032361463,0.21028037500778413
2,2021-07-26,magnitud,5,LSTM sin signo,0,0.9207481145858765,0.8972467184066772,0.9749986529350281,0.9756917357444763,0.0029039754351085144,274,120750,6850,14,7,0.09343704329882511,0.11714340729828356
2,2021-07-26,magnitud,5,LSTM sin signo,1,0.9211186766624451,0.8988772630691528,0.9752925634384155,0.9754414558410645,0.0029092621555387764,274,120750,6850,16,9,0.1049342928888371,0.11795347424666003
2,2021-07-26,magnitud,10,LSTM sin signo,0,0.916231632232666,0.8877344131469727,0.9760969281196594,0.9778463244438171,0.0030438407091640247,274,120476,6576,17,10,0.08717836957670068,0.10746896340493943
2,2021-07-26,magnitud,10,LSTM sin signo,1,0.9147289991378784,0.8867913484573364,0.9743263721466064,0.9767591953277588,0.0029195047684638154,274,120476,6576,17,10,0.08305059745116851,0.10477564059941379
2,2021-07-26,magnitud,20,LSTM sin signo,0,0.9107341766357422,0.8817031383514404,0.9799842834472656,0.982668399810791,0.00297010681414694,274,120202,6028,11,4,0.07080062104666486,0.07538746807407191
2,2021-07-26,magnitud,20,LSTM sin signo,1,0.9087842106819153,0.8796497583389282,0.9778103828430176,0.9795924425125122,0.002824552874972204,274,120202,6028,19,12,0.08296761322925066,0.08479344455644171
3,2022-01-24,magnitud,1,LSTM sin signo,0,1.4632973670959473,1.430778980255127,1.0265690088272095,1.0197137594223022,0.010028695530999755,274,127874,6576,13,6,0.16885019030608237,0.1819508171901107
3,2022-01-24,magnitud,1,LSTM sin signo,1,1.4566264152526855,1.4155116081237793,1.0215119123458862,1.0140756368637085,0.009689232761345269,274,127874,6576,10,3,0.1429198810267262,0.1761201195269823
