origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final,parametro
1,2021-01-25,nivel,10,regresion agrupada (L2),,1.1069258451461792,1.0797429084777832,1.0314520597457886,1.0312988758087158,0.003165007228221078,274,113352,6302,,,,,
1,2021-01-25,nivel,10,regresion agrupada (L1),,1.082013487815857,1.051516056060791,1.0081095695495605,1.0077705383300781,0.0021305373057977704,274,113352,6302,,,,,
1,2021-01-25,nivel,20,cero,,1.0698529481887817,1.041503667831421,1.0,1.0,0.0,274,113078,5754,,,,,
1,2021-01-25,nivel,20,constante optima,,1.0654035806655884,1.0368788242340088,0.995677649974823,0.9956620335578918,0.0006661641892771548,274,113078,5754,,,,,0.0463145487010479
1,2021-01-25,nivel,20,deriva,,1.0720638036727905,1.0434448719024658,1.0024971961975098,1.0026646852493286,0.001912426048780587,274,113078,5754,,,,,
1,2021-01-25,nivel,20,regresion agrupada (L2),,1.1005595922470093,1.074723243713379,1.0292977094650269,1.0290076732635498,0.0028724257027140836,274,113078,5754,,,,,
1,2021-01-25,nivel,20,regresion agrupada (L1),,1.0793628692626953,1.0511854887008667,1.0093859434127808,1.0093677043914795,0.0021116035954492135,274,113078,5754,,,,,
2,2021-07-26,nivel,1,cero,,1.0010559558868408,0.9693745970726013,1.0,1.0,0.0,274,121024,6850,,,,,
2,2021-07-26,nivel,1,constante optima,,0.9867176413536072,0.9641128182411194,0.9845243692398071,0.9852654337882996,0.003407136368301477,274,121024,6850,,,,,0.08171843364834785
2,2021-07-26,nivel,1,deriva,,1.0125809907913208,0.9806379675865173,1.0110669136047363,1.0147666931152344,0.0036663792149792284,274,121024,6850,,,,,
2,2021-07-26,nivel,1,regresion agrupada (L2),,0.9986889958381653,0.9726084470748901,0.998595654964447,0.9929652214050293,0.007220473178124571,274,121024,6850,,,,,
2,2021-07-26,nivel,1,regresion agrupada (L1),,0.9858545660972595,0.959094226360321,0.9845991134643555,0.9787866473197937,0.005741360383023236,274,121024,6850,,,,,
