origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final,parametro
0,2020-07-24,magnitud,1,volatilidad reciente,,1.396795392036438,1.330522060394287,1.0,1.0,0.0,273,107019,6825,,,,,
0,2020-07-24,magnitud,1,mediana de la ventana,,1.285988450050354,1.2230422496795654,0.921170175075531,0.9193503856658936,0.008805696508908415,273,107019,6825,,,,,
0,2020-07-24,magnitud,1,media reescalada (c global),,1.2734819650650024,1.2140638828277588,0.9116439819335938,0.9109424948692322,0.008367474055315552,273,107019,6825,,,,,0.7649
0,2020-07-24,magnitud,1,media reescalada (c por serie),,1.2753950357437134,1.2110583782196045,0.9127774238586426,0.9170213341712952,0.008611629013078255,273,107019,6825,,,,,
0,2020-07-24,magnitud,1,EWMA RiskMetrics,,1.2629246711730957,1.2243353128433228,0.9061848521232605,0.9102526903152466,0.010863881028725106,273,107019,6825,,,,,0.7698
0,2020-07-24,magnitud,1,EWMA ajustado,,1.2622953653335571,1.2153427600860596,0.9052964448928833,0.9101178050041199,0.010100702435037013,273,107019,6825,,,,,0.96
0,2020-07-24,magnitud,1,HAR,,1.2605311870574951,1.209965467453003,0.9035828709602356,0.9007437825202942,0.013442498790556725,273,107019,6825,,,,,
0,2020-07-24,magnitud,1,"GARCH(1,1) agrupado",,1.273606538772583,1.2223947048187256,0.9128000140190125,0.9076489210128784,0.014834456395403891,273,107019,6825,,,,,0.5492
0,2020-07-24,magnitud,1,regresion agrupada (L2),,1.2996084690093994,1.2421703338623047,0.9354793429374695,0.9434145092964172,0.008015867070977309,273,107019,6825,,,,,
0,2020-07-24,magnitud,1,regresion agrupada (L1),,1.2510271072387695,1.208715796470642,0.8968933820724487,0.9008479118347168,0.011656554029036446,273,107019,6825,,,,,
0,2020-07-24,magnitud,5,volatilidad reciente,,1.4832717180252075,1.3971195220947266,1.0,1.0,0.0,273,106746,6552,,,,,
0,2020-07-24,magnitud,5,mediana de la ventana,,1.388940453529358,1.317073106765747,0.9383507966995239,0.9387045502662659,0.003925386804476475,273,106746,6552,,,,,
0,2020-07-24,magnitud,5,media reescalada (c global),,1.3773776292800903,1.3078091144561768,0.9303183555603027,0.9287167191505432,0.0034695726833324555,273,106746,6552,,,,,0.7475
0,2020-07-24,magnitud,5,media reescalada (c por serie),,1.3778197765350342,1.307856559753418,0.9305388331413269,0.9288696646690369,0.0035298534100295263,273,106746,6552,,,,,
