origen,prueba_desde,tarea,H,metodo,semilla,mase_medio,mase_mediano,mase_rel_medio,mase_rel_mediano,ic95,n_series,n_entrena,n_prueba,epocas,mejor_epoca,grad_inicio,grad_final
0,2020-07-24,magnitud,10,LSTM,0.0,1.3742687702178955,1.2924737930297852,0.9243457317352295,0.9248174428939819,0.005535012576367939,271,105691,6233,19.0,12.0,0.0821770812603521,0.06839586297370331
0,2020-07-24,magnitud,10,LSTM,1.0,1.3772658109664917,1.29572594165802,0.9259491562843323,0.9262294173240662,0.0055232502008374365,271,105691,6233,8.0,1.0,0.06990763847208774,0.07647034508733137
0,2020-07-24,magnitud,20,volatilidad reciente,,1.489054799079895,1.3941118717193604,1.0,1.0,0.0,271,105420,5962,,,,
0,2020-07-24,magnitud,20,persistencia,,1.9083107709884644,1.823538064956665,1.2982065677642822,1.2760813236236572,0.020454420289876426,271,105420,5962,,,,
0,2020-07-24,magnitud,20,regresion agrupada,,1.378686785697937,1.3004214763641357,0.9317530393600464,0.9366151690483093,0.004719185995029907,271,105420,5962,,,,
0,2020-07-24,magnitud,20,LSTM,0.0,1.380332589149475,1.2858482599258423,0.9263228178024292,0.9292498230934143,0.005640405977524645,271,105420,5962,8.0,1.0,0.05970387702843952,0.06876318080766687
0,2020-07-24,magnitud,20,LSTM,1.0,1.378544569015503,1.2986392974853516,0.9266010522842407,0.9296994209289551,0.00552600602463232,271,105420,5962,30.0,23.0,0.06353777339591564,0.05927166697180387
1,2021-01-25,nivel,1,cero,,1.167211890220642,1.1219831705093384,1.0,1.0,0.0,272,113064,6800,,,,
1,2021-01-25,nivel,1,deriva,,1.172084927558899,1.1315958499908447,1.0034805536270142,1.004828929901123,0.003992131323206369,272,113064,6800,,,,
1,2021-01-25,nivel,1,ingenua,,1.716842532157898,1.6726109981536865,1.5025720596313477,1.477416753768921,0.028621666911317817,272,113064,6800,,,,
1,2021-01-25,nivel,1,regresion agrupada,,1.1779546737670898,1.1464422941207886,1.0164201259613037,1.0120419263839722,0.008584526795300966,272,113064,6800,,,,
1,2021-01-25,nivel,1,LSTM,0.0,1.1513376235961914,1.105781078338623,0.9873856902122498,0.9832537174224854,0.0032414620928630645,272,113064,6800,7.0,0.0,0.06824839020324913,0.1726770852587072
1,2021-01-25,nivel,1,LSTM,1.0,1.1515390872955322,1.1029119491577148,0.9871895909309387,0.9843146800994873,0.0030115544140088962,272,113064,6800,7.0,0.0,0.07303426030820986,0.20280000146866115
1,2021-01-25,nivel,5,cero,,1.090280294418335,1.0581262111663818,1.0,1.0,0.0,272,112792,6528,,,,
1,2021-01-25,nivel,5,deriva,,1.091673493385315,1.0685276985168457,1.0017390251159668,1.0015888214111328,0.0017251203036983387,272,112792,6528,,,,
1,2021-01-25,nivel,5,ingenua,,1.5754423141479492,1.5450692176818848,1.449169635772705,1.4366052150726318,0.014905250051512879,272,112792,6528,,,,
1,2021-01-25,nivel,5,regresion agrupada,,1.1223152875900269,1.093955636024475,1.0305198431015015,1.0292346477508545,0.0035423059117297272,272,112792,6528,,,,
1,2021-01-25,nivel,5,LSTM,0.0,1.0874977111816406,1.0550122261047363,0.9976307153701782,0.9976730942726135,0.0009775413226234858,272,112792,6528,7.0,0.0,0.034889448936732986,0.07641775543693782
1,2021-01-25,nivel,5,LSTM,1.0,1.0888216495513916,1.0556535720825195,0.9988045692443848,0.998460054397583,0.0008563871073160564,272,112792,6528,7.0,0.0,0.036574857510085684,0.0799375322738202
1,2021-01-25,nivel,10,cero,,1.0738903284072876,1.0424937009811401,1.0,1.0,0.0,272,112520,6256,,,,
1,2021-01-25,nivel,10,deriva,,1.0754170417785645,1.0484813451766968,1.001861810684204,1.0022187232971191,0.0017911107121957842,272,112520,6256,,,,
1,2021-01-25,nivel,10,ingenua,,1.5713191032409668,1.5474853515625,1.4701557159423828,1.447880744934082,0.015535658191730207,272,112520,6256,,,,
